Mage_Customer::Account Dashboard,Vue générale
Additional Information,Plus d'infos
Description,En bref
Discount Codes,Entrez votre code de réduction
Mage_Catalog::Currently Shopping by:
Mage_Customer::Create an Account,Inscrivez-vous
Mage_Customer::Register,Inscrivez-vous !
"Mage_Customer::""If you are a registered VAT customer"," please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation"""
Mage_Customer::Account Information,Mes infos
Mage_Customer::Address Book,Mes adresses
Mage_Customer::Address Books,Mes adresses
Mage_Customer::Dashboard,Vue générale
Mage_Customer::Edit Account Info,'Modifier vos infos'
Mage_Customer::My Dashboard,Mon Compte
Mage_Customer::Newsletters,Newsletter
Mage_Sales::Complete,Cloturée
My Account,Mon Compte
Related Products,Suggestion du commerçant
Amasty_Orderattr::Additional Information:,Informations complémentaires :
Amasty_Orderattr::Additional Info,Informations complémentaires
Amasty_Deliverydate::Delivery Date,Jour de livraison
Amasty_Deliverydate::Delivery Time Interval,Heure de livraison
Items in your order,Produits commandés
"Mage_Customer ::If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Si vous êtes un client Entreprise, merci de compléter votre adresse d'envoi en cliquant <a href=""%s"">ici</a>"
"Mage_Customer ::'If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation'","Si vous êtes un client Entreprise, merci de compléter votre adresse d'envoi en cliquant <a href=""%s"">ici</a>"
"""If there is an account associated with %s you will receive an email with a link to reset your password.""","""Si l'adresse %s existe dans notre base de données, vous recevrez un lien sur celle-ci pour réinitialiser votre mot de passe."""
MW_Ddate::Shipping Address,Adresse de livraison
MW_Ddate::Shipping Method,Votre livraison
MW_Ddate::Billing Address,Votre adresse
MW_Ddate::Payment Method,Votre Paiement
MW_Ddate::Checkout,Finaliser votre commande
MW_Ddate::Delivery Date,Date et horaire de livraison
MW_Ddate::Comment,Commentaire
MW_Ddate::Additional Info,Informations complémentaires
Mage_Sales::Invoiced,Facturé
MW_Ddate::* Required Fields,* Champs obligatoires
MW_Ddate::Back,Retour
MW_Ddate::Edit,Modifier
MW_Ddate::Loading next step...,Plus qu'une étape :-)
MW_Ddate::Billing Info,Votre adresse
MW_Ddate::Invalid Delivery Date.,Créneau de livraison invalide!,
Mage_Checkout::Billing Info,Adresse de facturation
Mage_Contacts::Contact Us,Contactez nous
Mage_Page::Quick Links,Liens
Mage_Checkout::Checkout as a Guest or Register,Payer en tant qu'invité ou s'enregistrer
Mage_Checkout::Login,Se connecter
Mage_Checkout::Sign in to speed up your checkout process,Réglez plus vite vos achats et profitez de nos offres exclusives.
Mage_Checkout::Register with us for future convenience:,Enregistrez vous pour régler plus vite vos achats.
Mage_Checkout::Returning Customers,Se connecter
Mage_Checkout::Forgot your password?,Mot de passe oublié ?
Mage_Persistent::What's this?,Qu'est ce que c'est ?
Mage_Checkout::Checkout Method,Se connecter
Mage_Checkout::Billing Information,<span>1/4</span> Votre adresse
Mage_Checkout::Shipping Information,Adresse de livraison
Mage_Checkout::Shipping Method,<span>2/4</span> Votre livraison
Mage_Checkout::Payment Information,<span>4/4</span> Votre paiement
Mage_Checkout::Order Review,Confirmer votre commande
Mage_Checkout::Availibility,Disponibilité
Mage_Sales::Shipping & Handling
Mage_Core::Place Order,Passer commande
