Mage_Customer::Account Dashboard,Vue générale,,
Additional Information,Plus d'infos,,
AwoDev_AwoRewards::Activate,Activer,,
AwoDev_AwoRewards::Active,Actif,,
AwoDev_AwoRewards::Affiliate,Affiliate,,
AwoDev_AwoRewards::Affiliate Message,Message affiliate,,
AwoDev_AwoRewards::All Orders,Toutes les commandes,"Si vous êtes un client Entreprise, merci de compléter votre adresse d'envoi en cliquant <a href=""%s"">ici</a>",
AwoDev_AwoRewards::Allow Everything,Tout autoriser,,
AwoDev_AwoRewards::Amount Paid,Total réglé,,
AwoDev_AwoRewards::An error occurred while saving,Une erreur est survenue lors de la sauvegarde,,
AwoDev_AwoRewards::API Key,API Key,,
AwoDev_AwoRewards::Are you sure you want to request payment?,Etes vous sûr de vouloir demander un règlement ?,,
AwoDev_AwoRewards::Are you sure?,Etes vous sûr ?,,
AwoDev_AwoRewards::Automatic Reward Payout,Automatic Reward Payout,,
AwoDev_AwoRewards::Automatic Reward Payout,AwoRewards Automatic Coupon,,
AwoDev_AwoRewards::AwoRewards Request Coupon,AwoRewards Request Coupon,,
AwoDev_AwoRewards::AwoRewards Sponsor Points,AwoRewards Sponsor Points,,
AwoDev_AwoRewards::AwoRewards Sponsor Statistics,AwoRewards Sponsor Statistics,,
AwoDev_AwoRewards::Back,Retour,,
AwoDev_AwoRewards::Check for Updates,Check for Updates,,
AwoDev_AwoRewards::Claimed Points,Claimed Points,,
AwoDev_AwoRewards::Configuration,Configuration,,
AwoDev_AwoRewards::Connection Failed,Connexion échouée,,
AwoDev_AwoRewards::Consumer Key,Consumer Key,,
AwoDev_AwoRewards::Consumer Secret,Consumer Secret,,
AwoDev_AwoRewards::Contacts already loaded,Les contacts ont déjà été téléchargés,'Envoi de plusieurs emails par fichier texte',
AwoDev_AwoRewards::Copy the below code into your cms Page or Static Block to display the promotion,Copy the below code into your cms Page or Static Block to display the promotion,,
AwoDev_AwoRewards::Could not connect to validation server,Ne peut se connecter au serveur de validation,,
AwoDev_AwoRewards::Coupon,Coupon,,
AwoDev_AwoRewards::Coupon Code,Code Coupon,,
AwoDev_AwoRewards::Coupon code could not be created,Le coupon ne peut être créé,,
AwoDev_AwoRewards::Coupon Expiration,Expiration du coupon,,
AwoDev_AwoRewards::Coupon Expiration (Days),Expiration du coupon (jours),,
AwoDev_AwoRewards::Coupon successfully generated,Coupon généré avec succès !,,
AwoDev_AwoRewards::Coupon to Copy,Coupon to Copy,,
AwoDev_AwoRewards::Credit,Crédit,,
AwoDev_AwoRewards::Credit History,Historique de crédit,,
AwoDev_AwoRewards::Credit Information,Information crédit,,
AwoDev_AwoRewards::Credit Type,Type de code promotion,,
AwoDev_AwoRewards::Credits,Crédits,,
AwoDev_AwoRewards::Currency Code,Currency Code,,
AwoDev_AwoRewards::Customer,Clients,,
AwoDev_AwoRewards::Customer not recognized,Clients non reconnus,,
AwoDev_AwoRewards::Customer Type,Type de client,,
AwoDev_AwoRewards::Dashboard,Tableau de bord,,
AwoDev_AwoRewards::Data does not match,Les informations ne correspondent pas,,
AwoDev_AwoRewards::Date,Date,,
AwoDev_AwoRewards::Days,Jours,,
AwoDev_AwoRewards::Delay between invites (seconds),Délai entre invitations (secondes),,
AwoDev_AwoRewards::Delay between invites invalid,Délai entre invitations invalide,,
