"Manage Exceptions: Date Intervals","Manage Exceptions: Date Intervals"
"Add New Date Interval","Add New Date Interval"
"Save and Continue Edit","Save and Continue Edit"
"Edit Date Interval `%s`","Edit Date Interval `%s`"
"New Date Interval","New Date Interval"
"General","General"
"Store View","Store View"
"From Year","From Year"
"From Month","From Month"
"From Day","From Day"
"To Year","To Year"
"To Month","To Month"
"To Day","To Day"
"Description","Description"
"Date Interval Information","Date Interval Information"
"Properties","Properties"
"ID","ID"
"Store","Store"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Manage Exceptions: Dates and Holidays","Manage Exceptions: Dates and Holidays"
"Add New Holiday","Add New Holiday"
"Edit Holiday `%s`","Edit Holiday `%s`"
"New Holiday","New Holiday"
"Year","Year"
"Month","Month"
"Day","Day"
"Holiday Information","Holiday Information"
"Delivery Date","Delivery Date"
"Delivery Time Interval","Delivery Time Interval"
"Delivery Comments","Delivery Comments"
"Save Delivery Date","Save Delivery Date"
"Edit Delivery Date For The Order #%s","Edit Delivery Date For The Order #%s"
"Manage Time Intervals","Manage Time Intervals"
"Add New Time Interval","Add New Time Interval"
"Generate Time Intervals","Generate Time Intervals"
"Edit Time Interval","Edit Time Interval"
"New Time Interval","New Time Interval"
"From","From"
"To","To"
"Position","Position"
"Time Interval Information","Time Interval Information"
"Generate","Generate"
"Configuration","Configuration"
"Starting Time","Starting Time"
"Ending Time","Ending Time"
"Minutes Interval","Minutes Interval"
"05:00 - 06:00 (24 Hour Format)","05:00 - 06:00 (24 Hour Format)"
"5:00 - 6:00 (24 Hour Format)","5:00 - 6:00 (24 Hour Format)"
"05:00 am - 06:00 am (12 Hour Format)","05:00 am - 06:00 am (12 Hour Format)"
"05:00 AM - 06:00 AM (12 Hour Format)","05:00 AM - 06:00 AM (12 Hour Format)"
"5:00 am - 6:00 am (12 Hour Format)","5:00 am - 6:00 am (12 Hour Format)"
"5:00 AM - 6:00 AM (12 Hour Format)","5:00 AM - 6:00 AM (12 Hour Format)"
"Format","Format"
"Staring Value for Position","Staring Value for Position"
"Step for Position","Step for Position"
"Generation Setup","Generation Setup"
"Sales","Sales"
"Exceptions: Dates and Holidays","Exceptions: Dates and Holidays"
"Record does not exist","Record does not exist"
"Edit","Edit"
"Record has been successfully saved","Record has been successfully saved"
"Unable to find a record to save","Unable to find a record to save"
"Record has been successfully deleted","Record has been successfully deleted"
