
"Activate","Activate"
"Active","Active"
"Affiliate","Affiliate"
"Affiliate Message","Affiliate Message"
"All Orders","All Orders"
"Allow Everything","Allow Everything"
"Amount Paid","Amount Paid"
"An error occurred while saving","An error occurred while saving"
"API Key","API Key"
"Are you sure?","Are you sure?"
"Are you sure you want to request payment?","Are you sure you want to request payment?"
"Automatic Reward Payout","Automatic Reward Payout"
"AwoRewards Automatic Coupon","AwoRewards Automatic Coupon"
"AwoRewards Request Coupon","AwoRewards Request Coupon"
"AwoRewards Sponsor Points","AwoRewards Sponsor Points"
"AwoRewards Sponsor Statistics","AwoRewards Sponsor Statistics"
"Back","Back"
"Check for Updates","Check for Updates"
"Claimed Points","Claimed Points"
"Configuration","Configuration"
"Connection Failed","Connection Failed"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Contacts already loaded","Contacts already loaded"
"Copy the below code into your cms Page or Static Block to display the promotion","Copy the below code into your cms Page or Static Block to display the promotion"
"Could not connect to validation server","Could not connect to validation server"
"Coupon","Coupon"
"Coupon Code","Coupon Code"
"Coupon code could not be created","Coupon code could not be created"
"Coupon Expiration","Coupon Expiration"
"Coupon Expiration (Days)","Coupon Expiration (Days)"
"Coupon successfully generated","Coupon successfully generated"
"Coupon to Copy","Coupon to Copy"
"Credit","Credit"
"Credit History","Credit History"
"Credit Information","Credit Information"
"Credit Type","Credit Type"
"Credits","Credits"
"Currency Code","Currency Code"
"Customer","Customer"
"Customer not recognized","Customer not recognized"
"Customer Type","Customer Type"
"Dashboard","Dashboard"
"Data does not match","Data does not match"
"Date","Date"
"Days","Days"
"Delay between invites (seconds)","Delay between invites (seconds)"
"Delay between invites invalid","Delay between invites invalid"
"Delay in Days","Delay in Days"
"Delete","Delete"
"Delete Credit","Delete Credit"
"Delete Referral","Delete Referral"
"Delete Rule","Delete Rule"
"Description","Description"
"Details","Details"
"Do not send Coupon if customer ordered","Do not send Coupon if customer ordered"
"Download Email addresses from Google Mail","Download Email addresses from Google Mail"
"Download Email addresses from Yahoo Mail","Download Email addresses from Yahoo Mail"
"Dropdown Description","Dropdown Description"
"Edit Credit","Edit Credit"
"Edit Invitation","Edit Invitation"
"Edit Referral","Edit Referral"
"Edit Rule","Edit Rule"
"Each Receiver","Each Receiver"
"Email","Email"
"Email Directly","Email Directly"
"Email invalid","Email invalid"
"Email is already registered","Email is already registered"
"Email is already sponsored","Email is already sponsored"
"Email Subject","Email Subject"
"Email Template","Email Template"
"Email template not properly set up","Email template not properly set up"
"Email(s) already registered or sponsored","Email(s) already registered or sponsored"
"Emails uploaded","Emails uploaded"
"Enabled","Enabled"
"Entry Date","Entry Date"
