"-- Please select your neighborhood --","-- Veuillez choisir votre quartier --"
"Available for delivery addresses in %s","Disponible pour les codes postaux de livraison: %s"
"Choose Your Neighborhood","Les Quartiers"
"Choose Another Neighborhood","Voir les autres quartiers"
"Clicking this icon you can visit the neighborhood and check the shopkeeper and the products of the neighborhood","En cliquant sur cette icône vous pouvez voir le quartier, ses commerçants et leurs produits."
"Clicking this icon you set the neighborhood as your new neighborhood","En cliquant sur cette icône vous enregistrez le quartier comme étant votre quartier."
"Edit Neighborhood","Modifier le Quartier"
"I Understood","J'ai compris"
"Renseignements","Information"
"Manage Neighborhoods","Gérer les Quartiers"
"My Neighborhood","Mon Quartier"
"Neighborhood","Quartier"
"Neighborhoods","Quartiers"
"New!","Nouveauté !"
"New Neighborhood","Nouveau Quartier"
"Search for your neighborhood","Chechez votre quartier"
"Switch to %s","Changer pour %s"
"You are visiting %s which is not your neighborhood. Do you want to set it as your neighborhood?","%s n'est pas votre quartier par défaut. Voulez vous changer cela?"
"You can now switch between neighborhoods. So it's easier if you move or want to delivery at work or to your friends.","Vous pouvez maintenant changer de quartier. C'est plus simple si vous déménagez, ou si vous souhaitez vous faire livrer au travail ou chez des amis."
"You have not set your neighborhood yet. Please choose your neighborhood by clicking on %s icon","Vous n'avez pas encore sélectionné votre quartier. Veuillez le choisir en cliquant sur l'icône %s"
"Your Neighborhood","Mon Quartier"
"Your neighborhood is now %s","Votre quartier est maintenant %s"
"Your postcode:","Votre code postal :"
"Warning!","Attention !"
"Visit this neighborhood","Voir ce quartier"
"Set % as my new neighborhood","Définir %s comme mon quartier par défaut."
