"Export Settings","Export Settings"
"Choose the website to export these orders","Choose the website to export these orders"
"Run Export CSV","Run Export CSV"
"Yes","Yes"
"No","No"
"Until","Until"
"1 week","1 week"
"2 weeks","2 weeks"
"1 month","1 month"
"2 months","2 months"
"3 months","3 months"
"4 months","4 months"
"5 months","5 months"
"6 months","6 months"
"7 months","7 months"
"8 months","8 months"
"9 months","9 months"
"10 months","10 months"
"11 months","11 months"
"12 months","12 months"
"Request product\'s review?","Request product\'s review?"
"Yes","Yes"
"No","No"
"Verified Reviews Tabs","Verified Reviews Tabs"
"Export","Export"
"Export","Export"
"Verified Reviews Form","Verified Reviews Form"
"version","version"
"Form","Form"
"VerifiedReviews","VerifiedReviews"
"Management","Management"
"Configuration","Configuration"
"Check Installation","Check Installation"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set","You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set"
"System integration","System integration"
"Enable Module on this Website","Enable Module on this Website"
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration","By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration"
"IdWebsite","IdWebsite"
"Secret Key","Secret Key"
"Table Name","Table Name"
"Status","Status"
"Product Reviews","Product Reviews"
"Number of reviews","Aantal beoordelingen"
"Average rating","Gemiddeld cijfer"
"View the trust certificate","Certificaat van betrouwbaarheid weergeven"
"More Reviews...","Meer reviews..."
"No reviews for this product.","Geen reviews voor dit product"
"the","de"
"d/m/Y","d/m/Y"
"Comments of","Opmerkingen van"
"Webmaster","Webmaster"
"Moderator","Moderator"
"on","op"
"Show conversation","Conversatie weergeven"
"Hide conversation","Conversatie verbergen"
"%d Review(s)","%d beoordeling(en)"
"%d Review","%d beoordeling"
"%d Reviews","%d beoordelingen"
"See the review(s)","De beoordeling(en) weergeven"
