overwrite,rootcat,parent,level,id,name,thumb,full,estcom_commercant,is_active,meta_title,description,meta_description,is_clickable,include_in_menu,show_in_navigation,show_age_popup,display_mode,landing_page,menu_bg_color,menu_text_color,menu_template,menu_main_static_block,menu_static_block1,product_count
0,2,"Commercants Batignolles",1,4,Boucher,cow.png,,,1,"Mon Boucher","Spécialiste de la viande, le boucher respecte un savoir-faire artisanal pour la préparer, la présenter et la vendre. Le quartier des Batignolles est riche en bouchers de qualité, et nous sommes en train de sélectionner les meilleurs pour vous offrir du goût et du choix.","Spécialiste de la viande, le boucher respecte un savoir-faire artisanal pour la préparer, la présenter et la vendre. Le quartier des Batignolles est riche en bouchers de qualité, et nous sommes en train de sélectionner les meilleurs pour vous offrir du goût et du choix.",0,1,,0,PRODUCTS_AND_PAGE,,#f3606f,#ffffff,,,,620
0,2,"Commercants Batignolles",1,9,Boulanger,wheat.png,,,1,,"Le boulanger est le commerce de quartier par excellence. Premier levé pour préparer les fournées de pains et viennoiseries, il sait régaler petits et grands.","Le boulanger est le commerce de quartier par excellence. Premier levé pour préparer les fournées de pains et viennoiseries, il sait régler petits et grands.",0,1,,0,PRODUCTS,,#f57320,#ffffff,,,,39
0,2,Boucher,2,37,"Boucherie des Moines",thumbnail-merchant.jpg,full-merchant.jpg,70,1,"Boucher - Boucherie des Moines","<p>La Boucherie des Moines est la première à avoir rejoint le site d'Au Pas De Courses. Ouverte il y a maintenant 7 ans par Michel Vaidie et son épouse Marie Geneviève, elle est depuis un lieu incontournable pour les amoureux de la bonne viande. </p><p>La médaille de la Chambre des Métiers obtenue par cet artisan en 2000 est un gage de réussite qui récompense un travail minutieux et respectueux dans la préparation de ses boeufs, veaux, agneaux et volailles.</p><p>Soucieux de transmettre son savoir-faire, vous pouvez également découvrir le quotidien de ce passionné et son accompagnement auprès des apprentis dans le documentaire réalisé par Florian Geyer <i><a href=http://www.dailymotion.com/video/x2vvwce>Garçon Boucher</a></i>.</p>","Boucherie des Moines Vous Livre Directement Ses Produits Grâce À Au Pas De Courses.Essayez Dès Ce Soir!",1,1,1,0,PRODUCTS,,,,template2,main_block_bdm17,,460
0,2,"Commercants Batignolles",1,56,Primeur,carrot.png,,,1,,"Figure centrale des marchés et rues commerçantes, le marchand de fruits et légumes sélectionne ses produits auprès des grossistes et producteurs locaux. Au contact direct avec la clientèle, il conseille, propose ses coups de coeur et partage son savoir-faire au rythme des saisons. Nous dénichons pour vous les petites adresses des Batignolles pour plus de plaisir, en toute saison.","Figure centrale des marchés et rues commerçantes, le marchand de fruits et légumes sélectionne ses produits auprès des grossistes et producteurs locaux. Au contact direct avec la clientèle, il adapte son offre, la conseille et lui apporte son savoir-faire au rythme des saisons. Nous dénichons pour vous les petites adresses des Batignolles pour plus de plaisir, en toute saison.",0,1,,0,PRODUCTS,,#3ab64b,#ffffff,,,,1256
0,2,"Commercants Batignolles",1,70,Poissonnier,fish.png,,,1,"Mon Poissonnier","Un bon plateau de fruits de mer garni d'huîtres rafraîchissantes, de crevettes goutteuses, de coquillages savoureux et de crustacés délicieux ou encore un beau poisson fraîchement pêché. Nos artisans poissonniers des Batignolles sélectionnent pour vous les trésors de la mer, et ils vous donneront les meilleurs conseils pour les préparer. Les essayer, c'est les adopter!","Un bon plateau de fruits de mer garni de bonnes huitres, de crevettes goutteuses, de coquillages savoureux et de crustacés délicieux ou encore un bon poisson fraîchement pêché. Nos artisans poissonniers des Batignolles sélectionne pour vous les trésors de la mer, et ils vous donneront les meilleurs conseils pour les préparer. Les essayer, c'est les adopter ?a donne envie !",0,1,,0,PRODUCTS,,#5496d7,#ffffff,,,,160
0,2,Poissonnier,2,71,"Marée 17",thumbnail_10.jpg,commercant_8.jpg,70,1,"Poissonnier - Marée 17","<p>Marée 17 s'associe à Au Pas De Courses pour vous proposer les meilleurs poissons, coquillages et crustacés.</p>
<p>Franck le gérant n'en est pas à son premier coup d'essai et connait très bien les ficelles du métier ! Après avoir œuvré pendant trois ans au Marché des Ternes, il reste sur les terres du 17e pour offrir des produits de grande qualité au prix juste. Fils de poissonnier, il n'a pas son pareil pour suggérer des associations originales ou vous conseiller pour vos préparations.</p>
<p>L’étalage est toujours bien garni chez Marée 17 qui vous propose - selon les arrivages - un large éventail de poissons, plateaux d’huîtres et de fruits de mer, ainsi que des préparations pour vos dîners et apéritifs.</p>
<p>Vous ne trouvez pas un produit sur notre site ou souhaitez faire une demande spéciale concernant la composition d'un plateau ? <a href=#chat onclick=Tawk_API.toggle(); return false;>Faites nous signe sur notre chat en ligne</a></p>","Marée 17 Vous Livre Directement Ses Produits Grâce À Au Pas De Courses.Essayez Dès Ce Soir!",1,1,,0,PRODUCTS,,,,template3,main_block_maree17,,161
0,2,"Boucherie des Moines",3,86,Charcuterie,catalog/category/Charcuterie_4.jpg,catalog/category/Charcuterie_19.jpg,,0,"Boucherie des Moines - Charcuterie",,"Dès ce soir, Boucherie des Moines Vous Livre Ses Produits Charcuterie Grâce À Au Pas De Courses",1,1,1,0,PRODUCTS,,,,,,,75
0,2,"Boucherie des Moines",3,92,Traiteur,catalog/category/traiteur_2.jpg,catalog/category/traiteur_7.jpg,,0,"Boucherie des Moines - Traiteur",,"Dès ce soir, Boucherie des Moines Vous Livre Ses Produits Traiteur Grâce À Au Pas De Courses",1,1,1,0,PRODUCTS,,,,,,,63
0,2,"Commercants Batignolles",1,150,Fromager,cheese.png,,,1,"Mon Fromager","Comté, Saint Nectaire et autre Cheddar n'ont pas de secret pour l'artisan fromager. Passionnés des productions fermières et apôtre du bon goût, nos fromagers sélectionnent, créent et affinent les trésors du terroir de France et vous proposerons de nombreuses références issues des autres pays du fromage.","Comté, Saint Nectaire et autre Cheddar n'ont pas de secret pour l'artisan fromager. Passionné des productions fermières et apôtre du bon goût, nos fromagers sélectionnent, créent et affinent les trésors du terroir de France et vous proposerons de nombreuses références issues des autres pays du fromage.",0,1,,0,PRODUCTS,,#faae37,#ffffff,,,,587
0,2,Fromager,2,151,"Les Fromages des Batignolles",thumbnail_9.jpg,commercant_43.jpg,70,1,"Fromager - Les Fromages des Batignolles","<p>Les Fromages des Batignolles est située dans le marché couvert des Batignolles et vous propose un large choix de fromages : des grands classiques comme le Camembert ou le Comté jusqu'au plus originaux tel le Stilton... Vous trouverez de quoi faire plaisir à toute votre table ! 
Quelque soit la spécialité : vache, brebis ou chèvre, la plupart des fromages sont proposés ici à la coupe en petites ou plus grandes portions afin de correspondre aux appétits et budgets de chacun.</p>
<p>Pierre et son équipe proposent également un large choix de produits italiens parmi lesquels <a href=https://www.aupasdecourses.com/batignolles/mon-fromager/les-fromages-des-batignolles/charcuterie-italienne.html>charcuteries, salaisons</a>, épicerie fine ou encore fromages des différentes régions d'Italie.</p>
<p>Avec une large gamme de produits, des prix pour toutes les bourses et les conseils avisés d'un artisan qui connait bien son métier, il n'y a pas à dire, Les Fromages des Batignolles est à la hauteur des attentes d'une clientèle exigeante !</p>","Les Fromages des Batignolles Vous Livre Directement Ses Produits Grâce À Au Pas De Courses.Essayez Dès Ce Soir!",1,1,,0,PRODUCTS,,,,template3,main_block_frb17,,495
