overwrite,rootcat,parent,level,id,name,thumb,full,estcom_commercant,is_active,meta_title,description,meta_description,is_clickable,include_in_menu,show_in_navigation,show_age_popup,display_mode,landing_page,menu_bg_color,menu_text_color,menu_template,menu_main_static_block,menu_static_block1,product_count
0,2,Boucher,2,37,Boucherie des Moines,thumbnail-merchant.jpg,full-merchant.jpg,70,1,Boucher - Boucherie des Moines,"<p>La Boucherie des Moines est la première à avoir rejoint le site d'Au Pas De Courses. Ouverte il y a maintenant 7 ans par Michel Vaidie et son épouse Marie Geneviève, elle est depuis un lieu incontournable pour les amoureux de la bonne viande. </p>
<p>La médaille de la Chambre des Métiers obtenue par cet artisan en 2000 est un gage de réussite qui récompense un travail minutieux et respectueux dans la préparation de ses boeufs, veaux, agneaux et volailles.</p>
<p>Soucieux de transmettre son savoir-faire, vous pouvez également découvrir le quotidien de ce passionné et son accompagnement auprès des apprentis dans le documentaire réalisé par Florian Geyer <i><a href=http://www.dailymotion.com/video/x2vvwce>Garçon Boucher</a></i>.</p>
<p>Vous souhaitez faire sensation avec un plateau de charcuterie ou une préparation spéciale ? <a href=#chat onclick=Tawk_API.toggle(); return false;>Faites nous signe sur notre chat en ligne</a> !</p>",La Boucherie des Moines vous livre à domicile grâce à Au Pas De Courses. Commandez maintenant pour vous faire livrer ce soir!,1,1,,0,PRODUCTS,,,,template2,main_block_bdm17,,460
0,2,Poissonnier,2,71,Marée 17,thumbnail_10.jpg,commercant_8.jpg,70,1,Poissonnier - Marée 17,"<p>Marée 17 s'associe à Au Pas De Courses pour vous proposer les meilleurs poissons, coquillages et crustacés.</p>
<p>Franck le gérant n'en est pas à son premier coup d'essai et connait très bien les ficelles du métier ! Après avoir œuvré pendant trois ans au Marché des Ternes, il reste sur les terres du 17e pour offrir des produits de grande qualité au prix juste. Fils de poissonnier, il n'a pas son pareil pour suggérer des associations originales ou vous conseiller pour vos préparations.</p>
<p>L’étalage est toujours bien garni chez Marée 17 qui vous propose - selon les arrivages - un large éventail de poissons, plateaux d’huîtres et de fruits de mer, ainsi que des préparations pour vos dîners et apéritifs.</p>
<p>Vous ne trouvez pas un produit sur notre site ou souhaitez faire une demande spéciale concernant la composition d'un plateau ? <a href=#chat onclick=Tawk_API.toggle(); return false;>Faites nous signe sur notre chat en ligne</a></p>","La poissonnerie en ligne aux Batignolles, c'est Marée 17. Faites vous livrer à domicile leurs produits par Au Pas De Courses. Profitez-en dès maintenant!",1,1,,0,PRODUCTS,,,,template3,main_block_maree17,,161
0,2,Boucherie des Moines,3,86,Charcuterie,Charcuterie_4.jpg,Charcuterie_19.jpg,,1,Boucherie des Moines - Charcuterie,,La Boucherie des Moines vous livre sa charcuterie à domicile grâce à Au Pas De Courses. Profitez en chez vous dès ce soir!,1,1,,0,PRODUCTS,,,,,,,75
0,2,Boucherie des Moines,3,92,Traiteur,traiteur_2.jpg,traiteur_7.jpg,,1,Boucherie des Moines - Traiteur,,La Boucherie des Moines vous livre ses spécialités traiteur à domicile grâce à Au Pas De Courses. Profitez en chez vous dès ce soir!,1,1,,0,PRODUCTS,,,,,,,63
0,2,Fromager,2,151,Les Fromages des Batignolles,thumbnail_9.jpg,commercant_43.jpg,70,1,Fromager - Les Fromages des Batignolles,"<p>Les Fromages des Batignolles est située dans le marché couvert des Batignolles et vous propose un large choix de fromages : des grands classiques comme le Camembert ou le Comté jusqu'au plus originaux tel le Stilton... Vous trouverez de quoi faire plaisir à toute votre table ! 
Quelque soit la spécialité : vache, brebis ou chèvre, la plupart des fromages sont proposés ici à la coupe en petites ou plus grandes portions afin de correspondre aux appétits et budgets de chacun.</p>
<p>Pierre et son équipe proposent également un large choix de produits italiens parmi lesquels <a href=https://www.aupasdecourses.com/batignolles/mon-fromager/les-fromages-des-batignolles/charcuterie-italienne.html>charcuteries, salaisons</a>, épicerie fine ou encore fromages des différentes régions d'Italie.</p>
<p>Avec une large gamme de produits, des prix pour toutes les bourses et les conseils avisés d'un artisan qui connait bien son métier, il n'y a pas à dire, Les Fromages des Batignolles est à la hauteur des attentes d'une clientèle exigeante !</p>","Les Fromages des Batignolles vous livre à domicile grâce à Au Pas De Courses. Profitez-en, pour vous faire livrer un plateau de fromages ce soir.",1,1,,0,PRODUCTS,,,,template3,main_block_frb17,,495
0,2,Les Fromages des Batignolles,3,154,Charcuterie italienne,Charcuterie_3.jpg,Charcuterie_20.jpg,,1,Les Fromages des Batignolles - Charcuterie italienne,,Les Fromages des Batignolles vous livre à domicile grâce à Au Pas De Courses sa charcuterie italienne. Venez les découvrir!,1,1,,0,PRODUCTS,,,,,,,26
0,2,Les Fromages des Batignolles,3,156,Crémerie,Cremerie_1.jpg,Cremerie_12.jpg,,1,Les Fromages des Batignolles - Crémerie,,Les Fromages des Batignolles vous livre à domicile grâce à Au Pas De Courses toute sa crèmerie. Venez les découvrir!,1,1,,0,PRODUCTS,,,,,,,43
0,2,Boucherie des Moines,3,164,Tous les produits,Tous_4.jpg,Tous_62.jpg,,1,Boucherie des Moines - Tous les produits,,La Boucherie des Moines vous livre tous ses produits à domicile grâce à Au Pas De Courses. Profitez en chez vous dès ce soir!,1,0,,0,PRODUCTS,,,,,,,459
0,2,Marée 17,3,168,Crustacés,crustaces.jpg,crustaces_9.jpg,,1,Marée 17 - Crustacés,,La poissonnerie Marée 17 vous livre tous leurs crustacés à domicile grâce à Au Pas De Courses. N'hésitez pas une seconde!,1,1,,0,PRODUCTS,,,,,,,10
0,2,Marée 17,3,174,Huîtres & Coquillages,coquillages.jpg,coquillages_9.jpg,,1,Marée 17 - Huîtres & Coquillages,,La poissonnerie Marée 17 propose la livraison d'huîtres livre et de ses coquillages grâce à Au Pas De Courses. N'hésitez pas une seconde!,1,1,,0,PRODUCTS,,,,,,,17
