,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,_product_websites,store,websites,commercant,,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,MPB17-FSE-1005,,4 baies et poivres,Activé,0,pièce,3.95 €,Le pot de 45g,0.045,1,3.95 €,3.95 €/pièce,5,0.20,3.00 €,PBP17-baispoivres.jpg,PBP17-baispoivres.jpg,PBP17-baispoivres.jpg,4 baies et poivres,4 baies et poivres,4 baies et poivres,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Epices,;;Epicier/Pascal Bassard Primeur/Epices,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Epices;;Epicier/Pascal Bassard Primeur/Epices,,,,Jean d'Aubignac,,France,,Non,"Pot sans moulin intégré. Composée de poivre blanc, noir et vert ainsi que de coriandre et baies roses, cette préparation se marie à merveille avec un foie gras, un carpaccio de poisson ou des viandes blanches cuites à la vapeur.",,,,0.045,,4 baies et poivres - Au Pas De Courses,"4 baies et poivres - Pascal Bassard Primeur - Le pot de 45g - Pot sans moulin intégré. Composée de poivre blanc, noir et vert ainsi que de coriandre et baies ro",re::^FDB17-EPI,"MPB17-FSE-1002,re::^FDB17-EPI,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1001,152,Abricot moelleux,Activé,0,piece,3.95 €,La barquette de 200g environ,0.200,1,3.95 €,3.95 €/piece,5,0.20,3.00 €,PBP17-Abricotmoelleux.jpg,PBP17-Abricotmoelleux.jpg,PBP17-Abricotmoelleux.jpg,Abricot moelleux,Abricot moelleux,Abricot moelleux,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Fruits secs,,,Non,Primeur/Pascal Bassard Primeur/Fruits secs,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Fruits secs,,,,,,,,Non,,,,,0.200,,Abricot moelleux - Au Pas De Courses,Abricot moelleux - Pascal Bassard Primeur - La barquette de 200g environ - ,,"re::^MPB17-EPI,re::^MPB17-FSE,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-OAE-1059,253,Ail Frais,Activé,1,kg,9.95 €,La tête de 100g environ,0.100,1,1.00 €,9.95 €/kg,5,0.20,0.75 €,PBP17-ailvioletfrais.jpg,PBP17-ailvioletfrais.jpg,PBP17-ailvioletfrais.jpg,Ail Frais,Ail Frais,Ail Frais,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,"Oignons, Ails & Echalottes",,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,"Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Oignons, Ails & Echalottes",,789O,,,,Egypte,,Non,"L'ail violet frais est la version primeur de l'ail que l'on trouve traditionnellement dans les cuisines du monde entier, l'ail frais français est récolté en juin et juillet alors qu'il n'est pas encore totalement mâture. Il est possible de trouver de l'ail frais en provenance d'autres pays à partir du printemps.","S’il possède encore sa tige verte, vous pouvez la 
cuisiner comme le poireau. Les gousses possèdent un gout moins marqué que celui de l’ail sec et sont très croquantes.",L’ail nouveau ne se conserve pas plus d’une semaine dans le bac du réfrigérateur.,,0.100,,Ail Frais - Au Pas De Courses,Ail Frais - Pascal Bassard Primeur - La tête de 100g environ - L'ail violet frais est la version primeur de l'ail que l'on trouve traditionnellement dans les cu,,"re::^MPB17-OAE,re::^MPB17-PDT",
x,MPB17-OAE-1002,73,Ail rose,Activé,0,kg,14.95 €,La tête de 90g environ,0.090,1,1.35 €,14.95 €/kg,5,0.20,,PBP17-ailrose.jpg,PBP17-ailrose.jpg,PBP17-ailrose.jpg,Ail rose,Ail rose,Ail rose,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,"Oignons, Ails & Echalottes",,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,"Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Oignons, Ails & Echalottes",,45678,,,,France,,Non,"Consommé depuis des millénaires, l’ail est un condiment très apprécié qui fait depuis longtemps partie de la tradition culinaire française. Sa culture, très simple, ne demande pas d’attention particulière et les espèces produites en France proposent un large éventail de goûts. En cuisine, ce condiment relève et sublime les saveurs, tout en participant à votre bien-être grâce à ses atouts nutritionnels.",,,,0.090,,Ail rose - Au Pas De Courses,"Ail rose - Pascal Bassard Primeur - La tête de 90g environ - Consommé depuis des millénaires, l’ail est un condiment très apprécié qui fait depuis longtemps par",,re::^MPB17-OAE,
,MPB17-FSE-1019,,Ail semoule,Activé,0,pièce,2.95 €,Le pot de 60g,0.060,1,2.95 €,2.95 €/pièce,5,0.20,2.24 €,PBP17-ailsemoule.jpg,PBP17-ailsemoule.jpg,PBP17-ailsemoule.jpg,Ail semoule,Ail semoule,Ail semoule,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Epices,;;Epicier/Pascal Bassard Primeur/Epices,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Epices;;Epicier/Pascal Bassard Primeur/Epices,,,,Jean d'Aubignac,,Chine,,Non,"A utiliser dans les salades, les pâtes, les sauces, les champignons, les poissons",,,,0.060,,Ail semoule - Au Pas De Courses,"Ail semoule - Pascal Bassard Primeur - Le pot de 60g - A utiliser dans les salades, les pâtes, les sauces, les champignons, les poissons",re::^FDB17-EPI,"re::^MPB17-EPI,re::^MPB17-FSE,re::^FDB17-EPI,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-EPI-1004,,Amande décortiquée nature,Activé,1,pièce,6.95 €,Environ 250g,0.250,1,6.95 €,6.95 €/pièce,5,0.20,5.27 €,PBP17-amandebarquette.jpg,PBP17-amandebarquette.jpg,PBP17-amandebarquette.jpg,Amande décortiquée nature,Amande décortiquée nature,Amande décortiquée nature,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Epices,;;Epicier/Pascal Bassard Primeur/Epices,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Epices;;Epicier/Pascal Bassard Primeur/Epices,,,,,,,,Non,,,,,0.250,,Amande décortiquée nature - Au Pas De Courses,Amande décortiquée nature - Pascal Bassard Primeur - Environ 250g - ,,,
,MPB17-EPI-1005,,Amandes Grillées Salées,Activé,1,pièce,6.95 €,Environ 250g,0.250,1,6.95 €,6.95 €/pièce,5,0.20,5.27 €,,,,Amandes Grillées Salées,Amandes Grillées Salées,Amandes Grillées Salées,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Epices,;;Epicier/Pascal Bassard Primeur/Epices,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Epices;;Epicier/Pascal Bassard Primeur/Epices,,,,,,,,Non,,,,,0.250,,Amandes Grillées Salées - Au Pas De Courses,Amandes Grillées Salées - Pascal Bassard Primeur - Environ 250g - ,,,
,MPB17-FEX-1005,26,Ananas cayenne lisse,Activé,0,kg,4.95 €,"La pièce d'environ 1,75kg",1.750,1,8.66 €,4.95 €/kg,5,0.20,6.57 €,ananas_cayenne.jpg,ananas_cayenne.jpg,ananas_cayenne.jpg,Ananas cayenne lisse,Ananas cayenne lisse,Ananas cayenne lisse,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits exotiques,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits exotiques;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,1234OND,Poids maximal (remboursement si poids plus faible),,,Cameroun,,Non,"Variété la plus répandue et la plus consommée dans le monde. Ferme, acide, à chair jaunâtre assez fibreuse, aux yeux plats. Il est assez gros, et est coloré d'orangé vers le plumet lorsqu'il atteint sa pleine maturité.",,,,1.750,,Ananas cayenne lisse - Au Pas De Courses,"Ananas cayenne lisse - Pascal Bassard Primeur - La pièce d'environ 1,75kg - Variété la plus répandue et la plus consommée dans le monde. Ferme, acide, à chair j",,re::^MPB17-FEX,
x,MPB17-FEX-1006,26,Ananas pain de sucre,Activé,0,kg,4.95 €,"La pièce d'environ 1,75kg",1.750,1,8.66 €,4.95 €/kg,5,0.20,6.57 €,PBP17-Ananaspaindesucre.jpg,PBP17-Ananaspaindesucre.jpg,PBP17-Ananaspaindesucre.jpg,Ananas pain de sucre,Ananas pain de sucre,Ananas pain de sucre,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits exotiques,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits exotiques;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123ND,Poids maximal (remboursement si poids plus faible),,,Bénin,,Non,"Cette variété est de forme allongée et de taille plutôt petite. Il a la particularité de rester vert à maturité. Fondant, il offre une chair blanche, très juteuse et sucrée. Son coeur, tendre, se mange sans difficulté.",,,,1.750,,Ananas pain de sucre - Au Pas De Courses,"Ananas pain de sucre - Pascal Bassard Primeur - La pièce d'environ 1,75kg - Cette variété est de forme allongée et de taille plutôt petite. Il a la particularit",,re::^MPB17-FEX,
,MPB17-FEX-1007,118,Ananas Victoria ,Activé,0,kg,8.95 €,La pièce d'environ 800g,0.800,1,7.16 €,8.95 €/kg,5,0.20,5.43 €,PBP17-victoria.jpg,PBP17-victoria.jpg,PBP17-victoria.jpg,Ananas Victoria ,Ananas Victoria ,Ananas Victoria ,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits exotiques,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits exotiques;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,1234OND,,,,Réunion,,Non,"Fruit exotique, l’ananas a longtemps été considéré comme un bien rare et précieux. On le trouve aujourd’hui facilement sur les étals toute l’année. Sa richesse en vitamines participe à votre tonus au quotidien.",,,,0.800,,Ananas Victoria  - Au Pas De Courses,"Ananas Victoria  - Pascal Bassard Primeur - La pièce d'environ 800g - Fruit exotique, l’ananas a longtemps été considéré comme un bien rare et précieux. On le t",,,
