,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,origine,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,MPB17-AUL-1162,4,Pointes asperges blanche française,0,,kg,12.95 €,Les 500g,0.500,1,6.48 €,12.95 €/kg,5,0.20,4.91 €,pointeaspergeblanche.jpg,pointeaspergeblanche.jpg,pointeaspergeblanche.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,Non,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,456,,,,France,,Non,,,,,0.500,,Pointes asperges blanche française - Au Pas De Courses,Pointes asperges blanche française - Pascal Bassard Primeur - Les 500g - ,MPB17-AUL-1140,,
,MPB17-FRO-1069,6,"Cerise, grande barquette",0,,pièce,9.95 €,"La barquette de 750g
",1.000,1,9.95 €,9.95 €/pièce,5,0.20,7.55 €,PBP17-ceriseburlat.jpg,PBP17-ceriseburlat.jpg,PBP17-ceriseburlat.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits rouges,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits rouges,,678,,,,France,,Non,,,,,1.000,,"Cerise, grande barquette - Au Pas De Courses","Cerise, grande barquette - Pascal Bassard Primeur - La barquette de 750g
 - ",,,
,MPB17-FRO-1072,7,Fraises de Carpentras,0,,piece,4.00 €,La barquette de 500g,0.500,1,4.00 €,4 €/piece,5,0.20,3.03 €,fraiseespagne.jpg,fraiseespagne.jpg,fraiseespagne.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits rouges,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits rouges,,456,,,,France,,Non,"Chaque année au printemps, les fraises font leur retour sur les étals et ce, pour notre plus grand plaisir ! Elles redonnent des couleurs à nos assiettes, émoustillent nos papilles… et surtout, nous apportent une bonne dose de vitamines et d’antioxydants. Peu caloriques, elles peuvent même se consommer sans modération. Il ne vous reste plus qu’à trouver la variété la plus à votre goût",,,,0.500,,Fraises de Carpentras - Au Pas De Courses,"Fraises de Carpentras - Pascal Bassard Primeur - La barquette de 500g - Chaque année au printemps, les fraises font leur retour sur les étals et ce, pour notre ",MPB17-FRO-1064,,
,MPB17-RAI-1105,8,Raisin Moscatel,0,,kg,9.95 €,Le kilo,1.000,1,9.95 €,9.95 €/kg,5,0.20,7.55 €,raisinmoscatel.jpg,raisinmoscatel.jpg,raisinmoscatel.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Raisin,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Raisin;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,9O,,,,,Extra,Non,,,,,1.000,,Raisin Moscatel - Au Pas De Courses,Raisin Moscatel - Pascal Bassard Primeur - Le kilo - ,,re::^MPB17-PEP,
,MPB17-AUL-1009,9,Asperge verte,0,,botte,2.95 €,la botte d'environ 500g,0.500,1,2.95 €,2.95 €/botte,5,0.20,2.24 €,aspergeverte.jpg,aspergeverte.jpg,aspergeverte.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,Non,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,456,,,,Espagne,,Non,"Blanche, violette ou verte, l’asperge est un délice de printemps à ne pas manquer ! Elle se déguste simplement avec un panaché de vinaigrettes ou se cuisine en gratin, en velouté, etc. Longtemps considérée comme un produit de luxe, elle est aujourd’hui beaucoup plus abordable",,,,0.500,,Asperge verte - Au Pas De Courses,"Asperge verte - Pascal Bassard Primeur - la botte d'environ 500g - Blanche, violette ou verte, l’asperge est un délice de printemps à ne pas manquer ! Elle se d",,,
,MPB17-TOM-1158,10,Tomates Saveur d'Antan,0,,kg,6.95 €,Le kilo,1.000,1,6.95 €,6.95 €/kg,5,0.20,5.27 €,saveurantan.jpg,saveurantan.jpg,saveurantan.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les légumes,Tomates,Oui,Mon Primeur/Pascal Bassard Primeur/Tous les légumes,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les légumes/Tomates;;Mon Primeur/Pascal Bassard Primeur/Produits de saison,,56789,,,Prince de Bretagne,,,Non,,,,,1.000,,Tomates Saveur d'Antan - Au Pas De Courses,Tomates Saveur d'Antan - Pascal Bassard Primeur - Le kilo - ,,re::^MPB17-TOM,
,MPB17-FRO-1064,13,Fraises Guariguette Origine France,0,,piece,6.95 €,La barquette de 250g,0.250,1,6.95 €,6.95 €/piece,5,0.20,5.27 €,guarriguette.jpg,guarriguette.jpg,guarriguette.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Fruits rouges,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Fruits rouges,,456,,,,France,,Non,"Chaque année au printemps, les fraises font leur retour sur les étals et ce, pour notre plus grand plaisir ! Elles redonnent des couleurs à nos assiettes, émoustillent nos papilles… et surtout, nous apportent une bonne dose de vitamines et d’antioxydants. Peu caloriques, elles peuvent même se consommer sans modération. Il ne vous reste plus qu’à trouver la variété la plus à votre goût",,,,0.250,,Fraises Guariguette Origine France - Au Pas De Courses,"Fraises Guariguette Origine France - Pascal Bassard Primeur - La barquette de 250g - Chaque année au printemps, les fraises font leur retour sur les étals et ce","MPB17-FRO-1070,MPB17-FRO-1071,MPB17-FRO-1073",re::^MPB17-FRO,
,MPB17-AUF-1005,27,Rhubarbe,0,,pièce,2.50 €,La pièce,,1,2.50 €,2.5 €/pièce,5,0.20,1.90 €,PBP17-rhubarbe.jpg,PBP17-rhubarbe.jpg,PBP17-rhubarbe.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Autres fruits,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Autres fruits,,56,,,,,,Non,"Crus, cuits, en tartes, en confiture ou comme légume, les tiges de rhubarge s'accomodent de milles façons. On peut également en faire des sirops ou des sorbets.Riche en vitamine C, elle a ainsi des propriétés toniques et antianémiques",,,,0.000,,Rhubarbe - Au Pas De Courses,"Rhubarbe - Pascal Bassard Primeur - La pièce - Crus, cuits, en tartes, en confiture ou comme légume, les tiges de rhubarge s'accomodent de milles façons. On peu",,,
,MPB17-PEP-1126,28,Poire Comice,0,,kg,3.95 €,Le kilo,1.000,1,3.95 €,3.95 €/kg,5,0.20,3.00 €,comice.jpg,comice.jpg,comice.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,12OND,,,,,,Non,,,,,1.000,,Poire Comice - Au Pas De Courses,Poire Comice - Pascal Bassard Primeur - Le kilo - ,,,
,MPB17-PEP-1129,28,Poire Forelle,0,,kg,3.95 €,Le kilo,1.000,1,3.95 €,3.95 €/kg,5,0.20,3.00 €,forelle.jpg,forelle.jpg,forelle.jpg,petitcommis_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,Non,Mon Primeur/Pascal Bassard Primeur/Tous les fruits,Mon Primeur/Pascal Bassard Primeur/Tous les produits;;Mon Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,4567,,,,,,Non,"La Forelle est une petite poire de couleur dorée, avec quelques reflets 
rougeâtres sur sa peau tachetée. Elle est juteuse et sucrée et se vend 
d'avril à juillet. Le goût est très aromatique, juteux avec un 
arrière-goût de vin. Vu sa petite taille, c'est un encas idéal. Ces 
poires sont délicieuses à manger à la main et ont fière allure dans la 
coupe de fruits.",,,,1.000,,Poire Forelle - Au Pas De Courses,"Poire Forelle - Pascal Bassard Primeur - Le kilo - La Forelle est une petite poire de couleur dorée, avec quelques reflets 
rougeâtres sur sa peau tachetée. Ell",,re::^MPB17-PEP,
