,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,categories,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,us_skus,re_skus,cs_skus,magmi_delete,
x,FDB17-BRE-1054,40,Ossau-Iraty au lait cru de brebis,Activé,,kg,34.80 €,1 portion de 200g environ,0.200,1,6.96 €,34.8 €/kg,5,0.20,5.28 €,ossau.jpg,ossau.jpg,ossau.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France,AOP,Non,34% de matière grasse<br><br>L'Ossau-Iraty est un fromage au lait de brebis du Pays Basque et du Béarn. C'est un fromage traditionnel reconnu en AOC depuis 1980 et en AOP (Appellation d'Origine Protégé – niveau Européen) depuis 1996. Le fromage Ossau Iraty est la seule AOC fromagère des Pyrénées. Il reste plus de 150 producteurs fermiers et environ une dizaine de laiteries. ,A conserver au frais dans l'emballage d'origine.,A déguster seul ou avec de la confiture de cerise ou de fruits rouges.,,0.200,,"FDB17-BRE-1062,FDB17-BRE-1358","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAGre::^FDB17-BRE,FDB17-EPI-1311",,
,FDB17-BRE-1297,42,Ossau au piment,0,,kg,26.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-CHA-1211,,Saucisson à la truffe,Activé,1,kg,40.00 €,1 salami de 230g environ,0.230,1,9.20 €,40 €/kg,5,0.20,6.98 €,FRB17_Salami_Tartufo.jpg,FRB17_Salami_Tartufo.jpg,FRB17_Salami_Tartufo.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Villani,http://www.villanisalumi.it/fr/prodotti/tartufo/,Italie,Sans gluten et sans lactose,Non,,,,,0.230,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHA",,
x,FDB17-CHA-1208,,Finocchiona,Activé,1,kg,35.00 €,1 portion de 100g en tranches fines,0.100,1,3.50 €,35 €/kg,5,0.20,2.65 €,FRB17_Finocchiona.jpg,FRB17_Finocchiona.jpg,FRB17_Finocchiona.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,Stock limité,Villani,http://www.villanisalumi.it/fr/prodotti/finocchiona/,Italie,Sans gluten et sans lactose,Non,Le finocchiona est un salami typique de la Toscane.,"Très parfumé, il est idéal pour les sandwich et accompagnera agréablement les apéritifs. Ce salami est caractérisé par la présence de graines de fenouil et par un affinage assez long de 4 à 5 mois (voire plus)",,,0.100,,"FDB17-CHA-1212,FDB17-CHA-1210,FDB17-CHA-1209","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHA",,
x,FDB17-CHA-1209,,Cacciatore,Activé,1,kg,35.00 €,1 salami de 200g environ,0.200,1,7.00 €,35 €/kg,5,0.20,5.31 €,FRB17_Cacciatore.jpg,FRB17_Cacciatore.jpg,FRB17_Cacciatore.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Villani,http://www.villanisalumi.it/prodotti/cacciatore-d-o-p/,Italie,Sans gluten et sans lactose,Non,"Le salami Cacciatore (ou ""saucisson du chasseur"") est un saucisson typique du sud de l'Italie.","
",,,0.200,,"FDB17-CHA-1212,FDB17-CHA-1210","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHA",,
,FDB17-BRE-1345,19,Ricotta Pur Brebis,0,,pièce,2.80 €,1 pot de 250g,0.250,1,2.80 €,2.8 €/pièce,5,0.20,2.12 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,Stock limité,Ricotta del Brigante,,Italie,,Non,,,,,0.250,,,,,
x,FDB17-CHA-1210,,Saucisson de sanglier,Activé,,kg,35.00 €,1 salami de 230g environ,0.230,1,8.05 €,35 €/kg,5,0.20,6.10 €,FRB17_Saucisson_Sanglier.jpg,FRB17_Saucisson_Sanglier.jpg,FRB17_Saucisson_Sanglier.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Villani,http://www.villanisalumi.it/fr/prodotti/cinghiale/,Italie,Sans gluten et sans lactose,Non,Ce saucisson est composé de viande de porc et de viande de sanglier 40%. Affinage de 30 jours.,,,,0.230,,"FDB17-CHA-1212,FDB17-CHA-1209","re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHA",,
x,FDB17-CHA-1382,2,Speck,Activé,1,kg,28.00 €,1 portion de 100g en tranches fines,0.100,1,2.80 €,28 €/kg,5,0.20,2.12 €,FRB17_Speck.jpg,FRB17_Speck.jpg,FRB17_Speck.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Charcuterie,,Mon Fromager/Les Fromages des Batignolles/Charcuterie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.100,,FDB17-CHA-1212,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHA",,
x,FDB17-CHE-1025,109,Demi Pouligny St Pierre au lait cru de chèvre,Activé,1,piece,3.80 €,1 demi fromage de 125g environ,0.250,1,3.80 €,3.8 €/piece,5,0.20,2.88 €,pouligny.jpg,pouligny.jpg,pouligny.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Berry,AOP,Non,"Ce fromage de chèvre est fabriqué par le producteur et affiné à la laiterie. C'est un fromage au lait cru de chèvre, à pâte molle à croûte fleurie à la forme caractéristique pyramidale.",,"Pour le déguster, il faut prévoir de le laisser à température ambiante 1/2 heure à 1 heure avant sa consommation. A conserver au frais dans l'emballage d'origine.",,0.250,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
,FDB17-BRE-1119,169,Brebille Aveyron au lait de brebis pasteurisé,0,,piece,3.20 €,,,,0.00 €,3.2 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Brebis,,Mon Fromager/Les Fromages des Batignolles/Brebis;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Papillon,,,,Non,,,,,0.000,,,,,
