,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,categories,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,BDM17-BOE-1296,1,Roti dans filet de bœuf,Activé,,kg,49.95 €,1 rôti de 1kg environ,1.000,1,49.95 €,49.95 €/kg,5,0.2,37.88 €,roti_filet.jpg,roti_filet.jpg,roti_filet.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,Le filet à griller est le morceau le plus tendre du bœuf. C’est un morceau cylindrique et tout en longueur dans lequel sont découpés les chateaubriands et les tournedos. Le filet peut être aussi rôti.,,"Le filet de boeuf se conserve, au réfrigérateur dans sa partie la plus froide, de 2 à 3 jours dans son emballage d'origine, papier parchemin du boucher ou barquette.",0.150,1.000,Toute l'année,Roti dans filet de bœuf,Le filet à griller est le morceau le plus tendre du bœuf. C’est un morceau cylindrique et tout en longueur dans lequel sont découpés les chateaubriands et les tournedos. Le filet peut être aussi rôti.,DAN17-BOE-001,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1348,1,Steak dans filet de bœuf,Activé,,kg,49.95 €,1 steak de 180g environ,0.180,1,8.99 €,49.95 €/kg,5,0.2,6.82 €,steakfilet.jpg,steakfilet.jpg,steakfilet.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,Le filet à griller est le morceau le plus tendre du bœuf. C’est un morceau cylindrique et tout en longueur dans lequel sont découpés les chateaubriands et les tournedos. Le filet peut être aussi rôti.,,"Le filet de boeuf se conserve, au réfrigérateur dans sa partie la plus froide, de 2 à 3 jours dans son emballage d'origine, papier parchemin du boucher ou barquette.",0.150,0.180,Toute l'année,Steak dans filet de bœuf,Le filet à griller est le morceau le plus tendre du bœuf. C’est un morceau cylindrique et tout en longueur dans lequel sont découpés les chateaubriands et les tournedos. Le filet peut être aussi rôti.,,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1364,2,Tranche de faux filet à griller,Activé,,kg,28.95 €,1 tranche de faux-filet de 280g environ,0.280,1,8.11 €,28.95 €/kg,5,0.2,6.15 €,fauxfilet.jpg,fauxfilet.jpg,fauxfilet.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le faux-filet à griller est un morceau tendre et savoureux. Il se situe contre le filet dont il se distingue cependant par sa forme, sa texture et sa tendreté mais aussi par son goût, tous proches de ceux de l’entrecôte qu’il jouxte également.","Le faux-filet se conserve, dans le papier du boucher, 2 à 3 jours au réfrigérateur dans sa partie la plus froide. Penser à toujours sortir la viande du réfrigérateur quelques heures avant de la faire cuire. Remise à température ambiante, elle ne sera pas agressée, à la cuisson, par un trop fort écart de température.",,0.250,0.280,Toute l'année,Tranche de faux filet à griller,"Le faux-filet à griller est un morceau tendre et savoureux. Il se situe contre le filet dont il se distingue cependant par sa forme, sa texture et sa tendreté mais aussi par son goût, tous proches de ceux de l’entrecôte qu’il jouxte également.",DAN17-BOE-002,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1367,3,Tranche de rumsteck à griller,Activé,,kg,28.95 €,1 tranche de 250g environ,0.250,1,7.24 €,28.95 €/kg,5,0.2,5.49 €,rumsteak.jpg,rumsteak.jpg,rumsteak.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le Rumsteck à griller est une viande à fibres courtes, tendre et très savoureuse. De l’anglais rump (croupe) et steak (tranche de grillade), c’est un morceau assez large qui forme le haut de la cuisse dans lequel sont découpés des pavés, des tranches ou des pièces dénommés « en tournedos ».",,,0.250,0.250,Toute l'année,Tranche de rumsteck à griller,"Le Rumsteck à griller est une viande à fibres courtes, tendre et très savoureuse. De l’anglais rump (croupe) et steak (tranche de grillade), c’est un morceau assez large qui forme le haut de la cuisse dans lequel sont découpés des pavés, des tranches ou des pièces dénommés « en tournedos ».","DAN17-BOE-003,DAN17-BOE-026","re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1136,4,Entrecôte,Activé,,kg,28.95 €,1 entrecôte de 280g environ,0.280,1,8.11 €,28.95 €/kg,5,0.2,6.15 €,entrecote.jpg,entrecote.jpg,entrecote.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"L’entrecôte et la côte de bœuf sont issues du même morceau, le milieu de train de côtes. Elle n'est pas ,comme son nom l’indique, découpée entre deux côtes : c’est une côte de bœuf désossée.","Penser à toujours les sortir du réfrigérateur 2 à 3 heures avant de les faire cuire, pour les mettre à température ambiante : elles ne seront pas agressées par un trop fort écart de température au moment de la cuisson. Les bouchers conseillent même jusqu’à 7 heures de remise à température.","L’entrecôte et la côte de bœuf se conservent, dans le papier boucher, 3 jours au réfrigérateur dans sa partie la plus froide.",0.280,0.280,Toute l'année,Entrecôte,"L’entrecôte et la côte de bœuf sont issues du même morceau, le milieu de train de côtes. Elle n'est pas ,comme son nom l’indique, découpée entre deux côtes : c’est une côte de bœuf désossée.",DAN17-BOE-004,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1092,5,Côte de bœuf,Activé,,kg,28.95 €,"1 côte de bœuf de 1,5kg environ",1.500,1,43.43 €,28.95 €/kg,5,0.2,32.93 €,cote_de_boeuf.jpg,cote_de_boeuf.jpg,cote_de_boeuf.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Reine des barbecues, savoureuse à souhait, la côte est l’un des meilleurs morceaux de bœuf à griller.","Le tranchage se fait à table car c’est un vrai cérémonial : après avoir enlevé l’os, la viande se tranche de droite à gauche et en biseau. La côte de bœuf  ne nécessite aucun autre apprêt que de la fleur de sel et du poivre du moulin. 
Penser à toujours les sortir du réfrigérateur 2 à 3 heures avant de les faire cuire, pour les mettre à température ambiante : elles ne seront pas agressées par un trop fort écart de température au moment de la cuisson. Les bouchers conseillent même jusqu’à 7 heures de remise à température.","L’entrecôte et la côte de bœuf se conservent, dans le papier boucher, 3 jours au réfrigérateur dans sa partie la plus froide.",0.250,1.500,Toute l'année,Côte de bœuf,"Reine des barbecues, savoureuse à souhait, la côte est l’un des meilleurs morceaux de bœuf à griller.",DAN17-BOE-005,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1227,6,Noix d’Entrecôte,Activé,,kg,24.95 €,1 noix d'entrecote de 300g environ,0.300,1,7.49 €,24.95 €/kg,5,0.2,5.68 €,BDM17-noixentrecote.jpg,BDM17-noixentrecote.jpg,BDM17-noixentrecote.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,,,,France,Blonde d'Aquitaine ou Limousine,Non,"L’entrecôte est issue du même morceau que la côte de bœuf. Elle n’est pas, comme son nom l’indique, découpée entre deux côtes mais bien une côte de bœuf désossée.","Elle compte parmi les meilleurs morceaux de bœuf à griller et à partager à deux. Sa viande, persillée et à fibres courtes, est tendre et savoureuse.",,,0.300,Pas dispo lors du relevé,Noix d’Entrecôte,"L’entrecôte est issue du même morceau que la côte de bœuf. Elle n’est pas, comme son nom l’indique, découpée entre deux côtes mais bien une côte de bœuf désossée.",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1292,7,Rosbif dans le rumsteck (château),Activé,,kg,26.95 €,1 rosbif de 1kg environ,1.000,1,26.95 €,26.95 €/kg,5,0.2,20.44 €,roti_rumsteak.jpg,roti_rumsteak.jpg,roti_rumsteak.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Rosbif,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le rosbif taillé dans le rumsteak est un rôti de qualité, tendre et fondant.","Bardé et ficelé, il peut être saisi et coloré dans son plat de cuisson ou dans une poêle avant d’être mis au four. Le temps de cuisson dépend de sa forme et de son poids. Sortir la viande au moins ½ heure voire 1 heure du réfrigérateur avant la cuisson.",,0.180,1.000,Toute l'année,Rosbif dans le rumsteck (château),"Le rosbif taillé dans le rumsteak est un rôti de qualité, tendre et fondant.",DAN17-BOE-026,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1323,8,Rumsteck façon Tournedos,Activé,,kg,28.95 €,1 tranche de Rumsteak de 180g chacun environ,0.180,1,5.21 €,28.95 €/kg,5,0.2,3.95 €,tournedos_boeuf.jpg,tournedos_boeuf.jpg,tournedos_boeuf.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le rumsteck façon Tournedos est préparé de la même façon qu'un tournedos mais ne peut porter le même nom, car ce dernier est limité au filet.",,,0.170,0.180,Toute l'année,Rumsteck façon Tournedos,"Le rumsteck façon Tournedos est préparé de la même façon qu'un tournedos mais ne peut porter le même nom, car ce dernier est limité au filet.",,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
,BDM17-BOE-1291,9,Rosbif dans la tranche,Activé,1,kg,19.90 €,1 rosbif de 1kg environ,1.000,1,19.90 €,19.9 €/kg,5,0.2,15.09 €,roti_tranche.jpg,roti_tranche.jpg,roti_tranche.jpg,petitcommis_batignolles,Boucherie des Moines,Bœuf,Rosbif,Mon Boucher/Boucherie des Moines/Bœuf;;Mon Boucher/Boucherie des Moines/Tous,Toute l'année,,,France,Blonde d'Aquitaine ou Limousine,Non,"Le rosbif taillé dans la tranche est un rôti de qualité, tendre et fondant.","Bardé et ficelé, il peut être saisi et coloré dans son plat de cuisson ou dans une poêle avant d’être mis au four. Le temps de cuisson dépend de sa forme et de son poids. Sortir la viande au moins ½ heure voire 1 heure du réfrigérateur avant la cuisson.",,0.180,1.000,Toute l'année,Rosbif dans la tranche,"Le rosbif taillé dans la tranche est un rôti de qualité, tendre et fondant.",BDM17-BOE-1292,"re::^CDV17-VR,MPB17-FSE-1005,re::^MPB17-ARO",
