,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,store,websites,commercant,,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,LRE-AGR-001,,Orange Navel Bio,Activé,1,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.00,2.80 €,LRE17-navel.jpg,LRE17-navel.jpg,LRE17-navel.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,http://www.salamita.it/,Italie Sicile,Direct Producteur,AB,,,,,1.000,,Orange Navel Bio - Au Pas De Courses,Orange Navel Bio - La Récolte - Le kilo - ,,,
,LRE-AGR-002,,Orange Tarocco Bio,Activé,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.00,2.80 €,LRE17-tarocco.jpg,LRE17-tarocco.jpg,LRE17-tarocco.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,,Italie Sicile,Direct Producteur,AB,"Orange mi sanguine (moro), mi-naveline",,,,1.000,,Orange Tarocco Bio - Au Pas De Courses,"Orange Tarocco Bio - La Récolte - Le kilo - Orange mi sanguine (moro), mi-naveline",,,
,LRE-AGR-003,,Citron Bio,Activé,0,kg,3.95 €,la portion de 500g,0.500,1,1.98 €,3.95 €/kg,5,0.00,1.87 €,LRE17-citron.jpg,LRE17-citron.jpg,LRE17-citron.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Familli Solarino,,Italie Sicile,Direct Producteur,AB,,,,,0.500,,Citron Bio - Au Pas De Courses,Citron Bio - La Récolte - la portion de 500g - ,,,
,LRE-AGR-004,,Orange sanguine Moro Bio,Activé,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.00,2.80 €,LRE17-Moro.jpg,LRE17-Moro.jpg,LRE17-Moro.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,http://www.salamita.it/,Italie Sicile,Direct Producteur,AB,Sanguine rouge et belle,,,,1.000,,Orange sanguine Moro Bio - Au Pas De Courses,Orange sanguine Moro Bio - La Récolte - Le kilo - Sanguine rouge et belle,,,
,LRE-AGR-005,,Orange Naveline Bio,Activé,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.00,2.80 €,LRE17-naveline.jpg,LRE17-naveline.jpg,LRE17-naveline.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Familli Solarino,,Italie Sicile,,AB,,,,,1.000,,Orange Naveline Bio - Au Pas De Courses,Orange Naveline Bio - La Récolte - Le kilo - ,,,
,LRE-AGR-006,,Pomelos Rose Bio,Activé,0,kg,3.20 €,La pièce d'environ 400g,0.400,1,1.28 €,3.2 €/kg,5,0.00,1.21 €,LRE17-pomelosrose.jpg,LRE17-pomelosrose.jpg,LRE17-pomelosrose.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Rocca,,Italie Sicile,,AB,Chair rose,,,,0.400,,Pomelos Rose Bio - Au Pas De Courses,Pomelos Rose Bio - La Récolte - La pièce d'environ 400g - Chair rose,,,
,LRE-AGR-007,,Pomelos Blanc Bio,Activé,0,kg,3.20 €,La pièce d'environ 400g,0.400,1,1.28 €,3.2 €/kg,5,0.00,1.21 €,LRE17-pomelosblanc.jpg,LRE17-pomelosblanc.jpg,LRE17-pomelosblanc.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Rocca,,Italie Sicile,,AB,Chair blanche,,,,0.400,,Pomelos Blanc Bio - Au Pas De Courses,Pomelos Blanc Bio - La Récolte - La pièce d'environ 400g - Chair blanche,,,
,LRE-AGR-008,,Orange amère Bio,Activé,1,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.00,2.80 €,LRE17-orangeamere.jpg,LRE17-orangeamere.jpg,LRE17-orangeamere.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Salamita,http://www.salamita.it/,Italie Sicile,,AB,Pour vos confitures et vos plats cuisinés,,,,1.000,,Orange amère Bio - Au Pas De Courses,Orange amère Bio - La Récolte - Le kilo - Pour vos confitures et vos plats cuisinés,,,
,LRE-AGR-009,,Clémentine Bio,Activé,0,kg,3.90 €,Le kilo,1.000,1,3.90 €,3.9 €/kg,5,0.00,3.70 €,LRE17-clementine.jpg,LRE17-clementine.jpg,LRE17-clementine.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Salamita,,Italie Sicile,Direct Producteur,AB,,,,,1.000,,Clémentine Bio - Au Pas De Courses,Clémentine Bio - La Récolte - Le kilo - ,,,
,LRE-AGR-010,,Mandarine Bio,Activé,0,kg,2.90 €,Le kilo,1.000,1,2.90 €,2.9 €/kg,5,0.00,2.75 €,LRE17-mandarine.jpg,LRE17-mandarine.jpg,LRE17-mandarine.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,,,Italie Sicile,,AB,,,,,1.000,,Mandarine Bio - Au Pas De Courses,Mandarine Bio - La Récolte - Le kilo - ,,,
,LRE-AUF-001,,Kiwi,Activé,0,kg,4.90 €,La pièce (environ 80g),0.080,1,0.39 €,4.9 €/kg,5,0.00,0.37 €,LRE17-Kiwi.jpg,LRE17-Kiwi.jpg,LRE17-Kiwi.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Autres Fruits Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Autres Fruits Bio,,,,Famille Carle,,France Drôme,"Direct Producteur, Demeter, Biodynamie",AB,,,,,0.080,,Kiwi - Au Pas De Courses,Kiwi - La Récolte - La pièce (environ 80g) - ,,,
,LRE-AUL-001,,Poireau Bio,Activé,0,kg,3.90 €,"L'unité, environ 300g",0.300,1,1.17 €,3.9 €/kg,5,0.00,1.11 €,LRE17-poireaux.jpg,LRE17-poireaux.jpg,LRE17-poireaux.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Autres Légumes Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Autres Légumes Bio,,,,Michel Besnier,,France Sud Ouest,Direct Producteur,AB,,,,,0.300,,Poireau Bio - Au Pas De Courses,"Poireau Bio - La Récolte - L'unité, environ 300g - ",,,
,LRE-AUL-002,,Betterave Chioggia Bio,Activé,1,kg,3.45 €,La pièce d'environ 300g,0.300,1,1.04 €,3.45 €/kg,5,0.00,0.98 €,LRE17-betteravechioggia.jpg,LRE17-betteravechioggia.jpg,LRE17-betteravechioggia.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Autres Légumes Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Autres Légumes Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"La Betterave de Chioggia est ronde, à la chair sucrée, rose veinée de blanc. Sa magnifique chair la rend très décorative en cuisine.
Elles se consomment crues, râpées en vinaigrette ou cuites dans les salades.",,,,0.300,,Betterave Chioggia Bio - Au Pas De Courses,"Betterave Chioggia Bio - La Récolte - La pièce d'environ 300g - La Betterave de Chioggia est ronde, à la chair sucrée, rose veinée de blanc. Sa magnifique chair",,,
,LRE-AUL-003,,Betterave Bio,Activé,0,kg,3.45 €,La pièce d'environ 300g,0.300,1,1.04 €,3.45 €/kg,5,0.00,0.98 €,LRE17-betterave.jpg,LRE17-betterave.jpg,LRE17-betterave.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Autres Légumes Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Autres Légumes Bio,,,,C. Gorrec,,France Bretagne,Direct Producteur,AB,,,,,0.300,,Betterave Bio - Au Pas De Courses,Betterave Bio - La Récolte - La pièce d'environ 300g - ,,,
,LRE-AUL-004,,Céleri Rave Bio,Activé,0,kg,3.90 €,"La pièce d'environ 1,5kg",1.500,1,5.85 €,3.9 €/kg,5,0.00,5.55 €,LRE17-celerirave.jpg,LRE17-celerirave.jpg,LRE17-celerirave.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Autres Légumes Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Autres Légumes Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"En soupe, en purée ou roti au four avec du miel",,,,1.500,,Céleri Rave Bio - Au Pas De Courses,"Céleri Rave Bio - La Récolte - La pièce d'environ 1,5kg - En soupe, en purée ou roti au four avec du miel",,,
,LRE-AUL-005,,Avocats Bio,Activé,0,kg,5.95 €,"La pièce, environ 350g",0.350,1,2.08 €,5.95 €/kg,5,0.00,1.97 €,LRE17-avocats.jpg,LRE17-avocats.jpg,LRE17-avocats.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Autres Légumes Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Autres Légumes Bio,,,,Famille Salamita,http://www.salamita.it/,Italie Sicile,"Direct producteur, Biodynamie",AB,,,,,0.350,,Avocats Bio - Au Pas De Courses,"Avocats Bio - La Récolte - La pièce, environ 350g - ",,,
,LRE-CHA-001,,Champignon Portobello Bio,Activé,0,kg,15.95 €,La portion de 200g,0.200,1,3.19 €,15.95 €/kg,5,0.00,3.02 €,LRE17-portobello.jpg,LRE17-portobello.jpg,LRE17-portobello.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Champignons Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Champignons Bio,,,,Champicarde,,France Picardie,Direct Producteur,AB,Remplace un bun dans un burger!,,,,0.200,,Champignon Portobello Bio - Au Pas De Courses,Champignon Portobello Bio - La Récolte - La portion de 200g - Remplace un bun dans un burger!,,,
,LRE-CHA-002,,Champignon de Paris Blanc Bio,Activé,0,kg,10.95 €,La portion de 200g,0.200,1,2.19 €,10.95 €/kg,5,0.00,2.08 €,LRE17-champignonparis.jpg,LRE17-champignonparis.jpg,LRE17-champignonparis.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Champignons Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Champignons Bio,,,,Champicarde,,France Picardie,Direct Producteur,AB,Cru ou cuit,,,,0.200,,Champignon de Paris Blanc Bio - Au Pas De Courses,Champignon de Paris Blanc Bio - La Récolte - La portion de 200g - Cru ou cuit,,,
,LRE-CHA-003,,Champignon de Paris Brun Bio,Activé,0,kg,11.50 €,La portion de 200g,0.200,1,2.30 €,11.5 €/kg,5,0.00,2.18 €,LRE17-parisbrun.jpg,LRE17-parisbrun.jpg,LRE17-parisbrun.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Champignons Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Champignons Bio,,,,Champicarde,,France Picardie,Direct Producteur,AB,Cru ou cuit,,,,0.200,,Champignon de Paris Brun Bio - Au Pas De Courses,Champignon de Paris Brun Bio - La Récolte - La portion de 200g - Cru ou cuit,,,
,LRE-CHA-004,,Champignon Pleurote Bio,Activé,0,kg,14.50 €,La portion de 200g,0.200,1,2.90 €,14.5 €/kg,5,0.00,2.75 €,LRE17-Pleurote.jpg,LRE17-Pleurote.jpg,LRE17-Pleurote.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Champignons Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Champignons Bio,,,,Champicarde,,France Picardie,Direct Producteur,AB,,,,,0.200,,Champignon Pleurote Bio - Au Pas De Courses,Champignon Pleurote Bio - La Récolte - La portion de 200g - ,,,
,LRE-CHO-001,,Chou de Bruxelles Bio,Activé,0,kg,7.90 €,La portion de 500g,0.500,1,3.95 €,7.9 €/kg,5,0.00,3.74 €,LRE17-choubruxelle.jpg,LRE17-choubruxelle.jpg,LRE17-choubruxelle.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"Cru en salade, à la mandoline ou cuit",,,,0.500,,Chou de Bruxelles Bio - Au Pas De Courses,"Chou de Bruxelles Bio - La Récolte - La portion de 500g - Cru en salade, à la mandoline ou cuit",,,
,LRE-CHO-002,,Brocoli Bio,Activé,0,pièce,2.80 €,La pièce,,1,2.80 €,2.8 €/pièce,5,0.00,2.65 €,LRE17-brocoli.jpg,LRE17-brocoli.jpg,LRE17-brocoli.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,,,,,0.000,,Brocoli Bio - Au Pas De Courses,Brocoli Bio - La Récolte - La pièce - ,,,
,LRE-CHO-003,,Chou fleur Bio,Activé,1,pièce,2.80 €,La pièce,,1,2.80 €,2.8 €/pièce,5,0.00,2.65 €,LRE17-Choufleur.jpg,LRE17-Choufleur.jpg,LRE17-Choufleur.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"En salade, rôti au four ou à l'eau",,,,0.000,,Chou fleur Bio - Au Pas De Courses,"Chou fleur Bio - La Récolte - La pièce - En salade, rôti au four ou à l'eau",,,
,LRE-CHO-004,,Chou cabus de Lorient Bio,Activé,0,pièce,2.80 €,La pièce,,1,2.80 €,2.8 €/pièce,5,0.00,2.65 €,LRE17-choucabus.jpg,LRE17-choucabus.jpg,LRE17-choucabus.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"En salade, rôti au four ou à l'eau",,,,0.000,,Chou cabus de Lorient Bio - Au Pas De Courses,"Chou cabus de Lorient Bio - La Récolte - La pièce - En salade, rôti au four ou à l'eau",,,
,LRE-CHO-005,,Chou frisé de Milan Bio,Activé,0,pièce,2.80 €,La pièce,,1,2.80 €,2.8 €/pièce,5,0.00,2.65 €,LRE17-choufrisemilan.jpg,LRE17-choufrisemilan.jpg,LRE17-choufrisemilan.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"En salade, rôti au four ou à l'eau",,,,0.000,,Chou frisé de Milan Bio - Au Pas De Courses,"Chou frisé de Milan Bio - La Récolte - La pièce - En salade, rôti au four ou à l'eau",,,
,LRE-CHO-006,,Chou pointu bio,0,0,pièce,2.80 €,La pièce,,1,2.80 €,2.8 €/pièce,5,0.00,2.65 €,,,,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,"En salade, rôti au four ou à l'eau",,,,0.000,,Chou pointu bio - Au Pas De Courses,"Chou pointu bio - La Récolte - La pièce - En salade, rôti au four ou à l'eau",,,
,LRE-CHO-007,,Chou cabus petit Bio,Activé,0,pièce,1.60 €,La pièce,,1,1.60 €,1.6 €/pièce,5,0.00,1.52 €,LRE17-choucabuspetit.jpg,LRE17-choucabuspetit.jpg,LRE17-choucabuspetit.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Choux Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Choux Bio,,,,Famille Paugam,http://www.voisinsbio.fr/,France Bretagne,Direct Producteur,AB,,,,,0.000,,Chou cabus petit Bio - Au Pas De Courses,Chou cabus petit Bio - La Récolte - La pièce - ,,,
,LRE-FRS-001,,Noix sèche du Périgord Bio,Activé,0,kg,7.90 €,La portion de 250g,0.250,1,1.98 €,7.9 €/kg,5,0.00,1.87 €,LRE17-noix.jpg,LRE17-noix.jpg,LRE17-noix.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Fruits Secs Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Fruits Secs Bio,,,,Monsallier,,France Périgord,,AB,,,,,0.250,,Noix sèche du Périgord Bio - Au Pas De Courses,Noix sèche du Périgord Bio - La Récolte - La portion de 250g - ,,,
,LRE-FRS-002,,Chataigne Bio,Activé,0,kg,10.50 €,La portion de 250g,0.250,1,2.63 €,10.5 €/kg,5,0.00,2.49 €,LRE17-chataignes.jpg,LRE17-chataignes.jpg,LRE17-chataignes.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Fruits Secs Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Fruits Secs Bio,,,,Agrôbiome,,France Drôme,,AB,Variété commune,,,,0.250,,Chataigne Bio - Au Pas De Courses,Chataigne Bio - La Récolte - La portion de 250g - Variété commune,,,
,LRE-FRS-003,,Amande Coques Bio,Activé,0,kg,14.90 €,La portion de 250g,0.250,1,3.73 €,14.9 €/kg,5,0.00,3.53 €,LRE17-amandes.jpg,LRE17-amandes.jpg,LRE17-amandes.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Fruits Secs Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Fruits Secs Bio,,,,Alain Barbier,,France,,AB,,,,,0.250,,Amande Coques Bio - Au Pas De Courses,Amande Coques Bio - La Récolte - La portion de 250g - ,,,
,LRE-FRS-004,,Noisettes Bio,Activé,0,kg,13.40 €,La portion de 250g,0.250,1,3.35 €,13.4 €/kg,5,0.00,3.18 €,LRE17-Noisettes.jpg,LRE17-Noisettes.jpg,LRE17-Noisettes.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Fruits Secs Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Fruits Secs Bio,,,,Moulin de La Gaumerie,,France Dordogne,,AB,,,,,0.250,,Noisettes Bio - Au Pas De Courses,Noisettes Bio - La Récolte - La portion de 250g - ,,,
,LRE-HEA-001,,Persil frisé Bio,Activé,0,botte,1.95 €,La botte,,1,1.95 €,1.95 €/botte,5,0.00,1.85 €,LRE17-persilfrise.jpg,LRE17-persilfrise.jpg,LRE17-persilfrise.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Herbes & Aromates Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Herbes & Aromates Bio,,,,Guillaume Verger,,France Sud Ouest,Direct Producteur,AB,,,,,0.000,,Persil frisé Bio - Au Pas De Courses,Persil frisé Bio - La Récolte - La botte - ,,,
,LRE-HEA-002,,Persil plat Bio,Activé,0,botte,1.95 €,La botte,,1,1.95 €,1.95 €/botte,5,0.00,1.85 €,LRE17-persilplat.jpg,LRE17-persilplat.jpg,LRE17-persilplat.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Herbes & Aromates Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Herbes & Aromates Bio,,,,Guillaume Verger,,France Sud Ouest,Direct Producteur,AB,,,,,0.000,,Persil plat Bio - Au Pas De Courses,Persil plat Bio - La Récolte - La botte - ,,,
,LRE-HEA-003,,Thym Bio,Activé,0,botte,1.95 €,La botte,,1,1.95 €,1.95 €/botte,5,0.00,1.85 €,LRE17-thym.jpg,LRE17-thym.jpg,LRE17-thym.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Herbes & Aromates Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Herbes & Aromates Bio,,,,Guillaume Verger,,France Sud Ouest,Direct Producteur,AB,,,,,0.000,,Thym Bio - Au Pas De Courses,Thym Bio - La Récolte - La botte - ,,,
,LRE-LRA-001,,Radis Noir Bio,Activé,0,kg,3.95 €,La pièce de 300g,0.300,1,1.19 €,3.95 €/kg,5,0.00,1.12 €,LRE17-radisnoir.jpg,LRE17-radisnoir.jpg,LRE17-radisnoir.jpg,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les légumes Bio,Légumes Racines Bio,,Oui,Primeur/La Récolte/Tous les légumes Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les légumes Bio/Légumes Racines Bio,,,,,,France Bretagne,,AB,,,,,0.300,,Radis Noir Bio - Au Pas De Courses,Radis Noir Bio - La Récolte - La pièce de 300g - ,,,
